id,name,locationInfo,genres,labels,type,lifeSpan.ended,lifeSpan.begin,lifeSpan.end,gender,deezerFans,id_artist_discogs,dbp_genre
56d8188f53a7ddfc01f92ee7,DaForce,"United States, California, Lancaster","Hip Hop, Experimental",Unknown Source Music,Person,FALSE,1977-11-09,,Male,102,285380,NA
56d81b0153a7ddfc01f9329e,"David ""Honeyboy"" Edwards","United States, Mississippi, Shaw","Blues, Delta Blues, Jazz, R&B, Soul, Folk","Folkways Records, Blue Horizon, Epic Records, Earwig Music, Testament Records",Person,TRUE,1915-06-28,2011-08-29,Male,3617,638057,"Jazz, Folk music, Rhythm and blues, Delta blues"
56d818f353a7ddfc01f92f75,Damir,Canada,Hip Hop,BTS Music,Person,FALSE,,,,6,NULL,NA
56d81d8d53a7ddfc01f9361e,Deichkind,"Germany, Hamburg, Hamburg","Hip Hop, Electro, Techno, Synthpop","WEA, Island Records, EastWest",Group,FALSE,1999,,,208344,90440,NA
56d81da653a7ddfc01f9364a,Delegation,England,"Funk, Soul, R&B",Epic Records,Group,TRUE,1975,1999,,3937,42191,"Soul music, Rhythm and blues, Funk"
56d8191553a7ddfc01f92faf,Dan Le Sac Vs Scroobius Pip,"England, Essex, Stanford-le-Hope","Electronic, Hip Hop",Lex Records,Group,TRUE,2007,2014-09,,8295,820411,"Hip hop music, Electronic music"
56d81dcb53a7ddfc01f93681,Deltron 3030,"United States, California","Avant-garde, Hip Hop",75 Ark,Group,FALSE,2000,,,4770,27507,Hip hop music
56d8200053a7ddfc01f939b3,Dillon Francis,"United States, California, Los Angeles","Electro House, Trap, Dubstep, Progressive House","Mad Decent, OWSLA",Person,FALSE,1987-10-05,,Male,563150,1866111,NA
56d8195053a7ddfc01f93010,Danforth,"France, Île-de-France, Paris","Hardcore Punk, Rapcore",Deadlight Entertainment,Group,FALSE,2003,,,3324,601031,NA
56d8195053a7ddfc01f93011,Dane Rumble,"New Zealand, Auckland","Rock, Pop, Hip Hop",Warner Bros. Records,Person,FALSE,,,,1652,898835,"Pop rock, Pop-rap, Dance-pop"
56d81ba553a7ddfc01f93369,David Ruffin,"United States, Mississippi, Whynot",R&B,Motown,Person,TRUE,1941-01-18,1991-06-01,Male,4987,86101,"Rhythm and blues, Disco, Gospel music"
56d8203653a7ddfc01f939e0,Dinah Washington,"United States, Alabama, Tuscaloosa","Blues, Gospel, Jazz, Pop, R&B",Mercury Records,Person,TRUE,1924-08-29,1963-12-14,Female,182277,33587,"Blues, Traditional pop music, Rhythm and blues, Jazz, Gospel music"
56d8195453a7ddfc01f93019,Danger Doom,United States,Hip Hop,"Epitaph Records, Lex Records",Group,FALSE,,,,910,324619,Hip hop music
56d8195553a7ddfc01f9301c,Danger Mouse,"United States, New York, White Plains","Hip Hop, Alternative Rock, Neo-Psychedelia, Electronica, Neo Soul, Alternative Hip Hop, Indie Rock, Folk Rock, Ambient","Capitol Records, EMI, Lex Records",Person,FALSE,1977-07-29,,Male,12504,109129,NA
56d8195553a7ddfc01f9301e,Dangerkids,"United States, Ohio, Dayton","Rap Metal, Post-Hardcore, Electronicore, Metalcore, Nu Metal",Rise Records,Group,FALSE,2012-05,,,3130,NULL,NA
56d81e1153a7ddfc01f936cd,Dendemann,"Germany, North Rhine-Westphalia, Menden",Hip Hop,NA,Person,FALSE,1974-06-27,,Male,15879,60752,NA
56d81e1753a7ddfc01f936da,Deniece Williams,"United States, Indiana, Gary","Soul, R&B, Gospel","Columbia, Shanachie, Sparrow Records",Person,FALSE,1950-06-03,,Female,31205,146284,"Rhythm and blues, Pop music, Soul music, Gospel music"
56d8204a53a7ddfc01f939fd,Dion (US),United States,Hip Hop,NA,,FALSE,,,,NULL,NULL,NA
56d8205453a7ddfc01f93a03,Dionne Warwick,"United States, New Jersey, East Orange","Soul, R&B, Soft Rock, Pop, Easy Listening, Jazz, Gospel, Pop, Adult Contemporary","Arista, Scepter Records, Motown, Rhino Records, Disques Vogue, Columbia, Fontana, Rozenblit, Pye Records, Atlantic Records, CBS Records, Metronome Records, Polydor, Ariola, ABC Records, Universal Music, Collectables, Warner Music Group",Person,FALSE,1940-12-12,,Female,91453,113673,"Rhythm and blues, Pop music, Gospel music"
56d8205853a7ddfc01f93a0a,Diplo,"United States, Mississippi, Tupelo","Hip Hop, Dancehall","Big Dada Recordings, Mad Decent",Person,FALSE,1978-11-10,,Male,907769,191242,Electronic dance music
56d8195c53a7ddfc01f9302b,Dani Stevenson,"United States, Georgia, Atlanta","R&B, Hip Hop","Elektra, Universal Records",Person,FALSE,1980,,Female,3,174810,"Jazz, Funk, Contemporary R&B, Hip hop music, Soul music"
56d8205953a7ddfc01f93a0f,Dipset,"United States, New York, Harlem",Hip Hop,Koch Records,Group,FALSE,2002,,,9,212678,Hip hop music
56d8206b53a7ddfc01f93a30,Dirty,"United States, Alabama, Montgomery",Hip Hop,Universal Records,Group,FALSE,,,,772,26975,"Gangsta rap, Southern hip hop"
56d81e2a53a7ddfc01f93705,Denny Laine,"England, West Midlands, Birmingham","Rock 'N' Roll, Blues Rock, R&B, Jazz Fusion","Arista, Decca Records, EMI, Global Records, Griffin Records, President Records, Reprise Records, Takoma",Person,FALSE,1944-10-29,,Male,9,257417,"Jazz fusion, Rock and roll, Blues rock, Rhythm and blues"
56d81e2f53a7ddfc01f93716,Denyo,"Germany, Hamburg, Hamburg",Hip Hop,Universal Music,Person,FALSE,1977,,Male,2061,174008,NA
56d820be53a7ddfc01f93aa0,Dispatch,"United States, Vermont, Middlebury","Jam Band, Indie Folk, Roots Rock, Reggae, Rap Rock, Ska",Universal Records,Group,FALSE,1996,,,5824,1150806,"Roots rock, Rap rock, Jam band, Ska, Indie folk, Reggae fusion"
56d81e4b53a7ddfc01f93747,Derek Minor,"United States, Michigan, Pontiac","Christian Hip Hop‎, Hip Hop","Christlike Entertainment, Reflection Music Group, Reach Records",Person,FALSE,1983-12-16,,Male,6075,1348571,Christian hip hop
56d81e5053a7ddfc01f9374e,Derty,NA,Hip Hop,NA,,FALSE,,,,14,NULL,NA
56d81c1853a7ddfc01f9341e,Dc Talk,"United States, Virginia, Lynchburg","Christian Hip Hop‎, Hip Hop, Rock","ForeFront Records, Virgin Records",Group,TRUE,1987,2001,,78453,230204,Rap rock
56d81e5e53a7ddfc01f93765,Desdamona,"United States, Iowa, Mount Pleasant","Hip Hop, Soul, Indie, Spoken Word",Zlink Entertainment,Person,FALSE,,,Female,82,554803,NA
56d81c2553a7ddfc01f93434,De Jeugd Van Tegenwoordig,"The Netherlands, North Holland, Amsterdam","Hip Hop, Electronic","TopNotch, Magnetron Music",Group,FALSE,,,,37236,320143,NA
56d81e9353a7ddfc01f937a4,Destiny-1,"Uganda, Kampala","Dancehall, Gospel, R&B, Reggae, Soul","Independent, Kish Records",Group,FALSE,2004,,,NULL,3471007,NA
56d81c2f53a7ddfc01f93441,De La Soul,"United States, New York, Long Island","Hip Hop, Jazz Rap","Tommy Boy, Sanctuary Records, AOI Records",Group,FALSE,1987,,,107173,4091,Hip hop music
56d81a0e53a7ddfc01f93133,Dappy,"England, London, Camden",Hip Hop,"Polydor, All Around The World, Def Jam Recordings",Person,FALSE,1987-06-11,,Male,65931,1550140,NA
56d8210c53a7ddfc01f93b46,DJ Envy,"United States, New York, Queens",Hip Hop,"Desert Storm Records, Koch Records",Person,FALSE,1977-09-03,,Male,181,181010,"Hip hop music, Rhythm and blues"
56d8210c53a7ddfc01f93b4a,DJ Envy & Red Café,United States,Hip Hop,Koch Records,,FALSE,,,,18,NULL,NA
56d8210f53a7ddfc01f93b4b,DJ Drama,"United States, Pennsylvania, Philadelphia",Hip Hop,Gangsta Grillz,Person,FALSE,1978-04-22,,Male,48586,383281,Hip hop music
56d81eaa53a7ddfc01f937d1,Deuce,"United States, California, Los Angeles","Rock, Hip Hop",NA,Group,FALSE,1978,,,18092,80956,"Hip hop music, Rap rock"
56d8213d53a7ddfc01f93b7c,DJ Koze,"Germany, Schleswig-Holstein, Flensburg","Techno, Tech House, Minimal Techno, Hip Hop","Kompakt, Pampa Records",Person,FALSE,1972,,Male,17907,8260,NA
56d8213f53a7ddfc01f93b84,DJ Laz,"United States, Florida, Hollywood","Hip Hop, Reggaeton",Pandisc Records,Person,FALSE,1990,,,899,67691,"Miami bass, Reggaeton"
56d8214053a7ddfc01f93b88,DJ Kayslay & Greg Street,United States,Hip Hop,Koch Records,,FALSE,,,,15,NULL,Hip hop music
56d8214153a7ddfc01f93b8c,DJ Logic,"United States, New York, The Bronx",Hip Hop,"Relix Records, Ropeadope Records",Person,FALSE,1972,,Male,4372,37696,"Acid jazz, Hip hop music, Jam band, Nu jazz"
56d81a8753a7ddfc01f931ea,Daryl Hall,"United States, Pennsylvania, Pottstown","Rock, R&B, Soul","Atlantic Records, RCA Records, Epic Records, Arista",Person,FALSE,1946-10-11,,Male,5236,63318,"Rock music, Soul music, Pop rock, Alternative country, Blues rock, Rhythm and blues, Blue-eyed soul, Soft rock"
56d81a8d53a7ddfc01f931f3,Das EFX,"United States, Virginia, Petersburg",Hip Hop,EastWest Records America,Group,FALSE,1988,,,16534,69544,"Hardcore hip hop, Hip hop music"
56d81a9453a7ddfc01f93202,Das Bo,"Germany, Hamburg, Hamburg",Hip Hop,Yo Mama's Recording,Person,FALSE,1976,,,4940,53438,NA
56d81cad53a7ddfc01f934ed,Dear Pricey,"Barbados, Saint Michael",Hip Hop,MoneyEntrè Music Group,Person,FALSE,1990-04-25,,Male,2,4630343,NA
56d81ab753a7ddfc01f9321e,Datsik,"Canada, British Columbia, Kelowna","Electro House, Dubstep, Trap","Dim Mak Records, Rottun Recordings, Basshead, SMOG, Firepower Records",Person,FALSE,1988-06-09,,Male,91382,1450846,"Drum and bass, Moombahton, Dubstep, Electro house, Trap music"
56d81f1253a7ddfc01f93859,Diabolic (US-NY),"United States, New York, Long Island",Hip Hop,Viper Records,Person,FALSE,,,Male,2138,188693,"Hip hop music, Political hip hop"
56d81cc653a7ddfc01f93510,Death Grips,"United States, California, Sacramento",Experimental Hip Hop,"Warp Records, Epic Records, Harvest Records",Group,FALSE,2010-12-21,,,16328,2225756,"Experimental hip hop, Industrial hip hop"
56d81f3b53a7ddfc01f9388e,Diana Ross & Marvin Gaye,"United States, Michigan, Detroit, United States, Washington, D.C.",R&B,Motown,,FALSE,,,,483984,NULL,NA
56d81f3c53a7ddfc01f93890,Diana Ross,"United States, Michigan, Detroit","R&B, Soul, Pop, Disco, Jazz","Motown, RCA Records, EMI",Person,FALSE,1944-03-26,,Female,483984,47742,NA
56d8218753a7ddfc01f93c1c,DJ3,"United States, Indiana","Christian Hip Hop‎, Hip Hop",NA,,FALSE,,,,6,NULL,NA
56d81d0553a7ddfc01f93540,DeBarge,"United States, Michigan, Grand Rapids","R&B, Soul","Gordy, Motown",Group,TRUE,1979,1989,,4098,157990,"Rhythm and blues, Pop music, Funk, Soul music"
56d8219653a7ddfc01f93c3e,DM & Jemini,United States,Hip Hop,Lex Records,Person,FALSE,1977-07-29,,Male,1,109129,NA
56d8219a53a7ddfc01f93c47,DMC,United States,Hip Hop,Romen Mpire,Person,FALSE,1964-05-31,,Male,922,171459,"Rap rock, Old-school hip hop, East Coast hip hop, Hip hop music"
56d821a353a7ddfc01f93c4f,DMX,"United States, New York, Yonkers",Hip Hop,NA,Person,FALSE,1970-12-18,,Male,701948,59769,Hip hop music
56d81f5d53a7ddfc01f938cd,Dicks On Fire,Germany,"Hip Hop, Rap Metal, Crossover",RARE,Group,FALSE,,,,43,485859,NA
56d81f6353a7ddfc01f938d5,Diddy,"United States, New York, New York City","Hip Hop, Pop, R&B","Arista, Epic Records",Person,FALSE,1969-11-04,,Male,315815,35135,NA
56d81d1a53a7ddfc01f9356b,Debra Arlyn,"United States, Oregon, Portland","Pop, Rock, R&B, Soul",Home Slice Music,,FALSE,,,,32,2106375,"Pop music, Rhythm and blues, Adult contemporary music"
56d821b653a7ddfc01f93c71,Doc Gynéco,"France, Île-de-France‎, Clichy","G-Funk, Hip Hop",Virgin France,Person,FALSE,1974-07-07,,Male,51083,459304,NA
56d81f7653a7ddfc01f938f4,Die Dumme Dänen,"Denmark, Region Hovedstaden, Copenhagen","Heavy Metal, Hip Hop",Sony BMG,Group,FALSE,2005,,,9,1588971,NA
56d81f7853a7ddfc01f938f7,Die Fantastischen Vier,"Germany, Baden-Württemberg, Stuttgart",Hip Hop,Four Music,Group,FALSE,1989-07-07,,,107835,50718,NA
56d821cd53a7ddfc01f93c9c,Doggy Style Allstars,"United States, Kansas, Topeka",Hip Hop,Doggy Style Records,Group,FALSE,,,,NULL,920855,NA
56d81f7c53a7ddfc01f938fb,Die Firma,"Germany, North Rhine-Westphalia, Cologne",Hip Hop,"LaCosaMia, V2 Records",Group,FALSE,1996,,,3288,206732,NA
56d81f7f53a7ddfc01f938fd,Die Goldenen Zitronen,"Germany, Hamburg, Hamburg","Alternative Rock, Experimental Rock, Hip Hop, Indie Rock, New Wave, Punk Rock, Singer-Songwriter","Vielklang, Buback, Weser Label, Cooking Vinyl",Group,FALSE,1984,,,1506,53419,NA
56d81d7153a7ddfc01f935f6,Def Con Dos,"Spain, Madrid","Nu Metal, Rap Metal, Rap Rock, Rapcore",Strawberry Hardcore,Group,FALSE,1989,,,4302,609185,NA
56d8204453a7ddfc01f939f3,Dio (NL),The Netherlands,Hip Hop,"EMI, Sony Music",Person,FALSE,,,,NULL,955475,NA
56d8222d53a7ddfc01f93cfb,Domino,"United States, Missouri, St. Louis",Hip Hop,"Def Jam Recordings, Columbia, MCA Records, Thump Records",Person,FALSE,,,Female,2318,95517,Hip hop music
56d8223253a7ddfc01f93d05,Domo Genesis,"United States, California, Los Angeles",Alternative Hip Hop,NA,Person,FALSE,1991-03-09,,Male,2877,1967266,Hip hop music
56d8223453a7ddfc01f93d0a,Don And Juan,"United States, New York, Brooklyn","Singer-Songwriter, Pop, Soul, R&B, Vocal","Twirl Records, Big Top Records, Collectables",Group,FALSE,,,,7894,374799,NA
56d8223e53a7ddfc01f93d21,Don Choa,France,Hip Hop,Sony BMG,Person,FALSE,1974,,Male,10324,219329,NA
56d8225253a7ddfc01f93d3c,Don Johnson Big Band,"Finland, Uusimaa, Helsinki","Hip Hop, Jazz","Beat Black, Universal Music",Group,FALSE,,,,1596,155958,"Hip hop music, Electronic music, Alternative rock"
56d8227953a7ddfc01f93d75,Donatan,"Poland, Lesser Poland Voivodeship, Kraków","Hip Hop, Folk",Urban Rec,Person,FALSE,1983-09-02,,Male,12409,1138502,"Folk music, Hip hop music"
56d8228353a7ddfc01f93d86,DonGURALesko,"Poland, Greater Poland Voivodeship, Poznań",Hip Hop,"Wielkie Joł, Szpadyzor Records",Person,FALSE,1980-03-08,,Male,54442,288175,NA
56d8228553a7ddfc01f93d8b,Donna Allen,"United States, Florida, Key West","R&B, New Jack Swing","Atlantic Records, Epic Records",Person,FALSE,,,Female,64,14099,NA
56d8229053a7ddfc01f93d9e,Donna Summer,"United States, Massachusetts, Boston","Pop, Funk, Soul, R&B, Disco","Epic Records, Casablanca Records, PolyGram",Person,TRUE,1948-12-31,2012-05-17,Female,452843,6270,"Disco, Rock music, Dance music, Soul music, Funk, New wave music, Rhythm and blues, Gospel music, Pop music"
56d8229153a7ddfc01f93da0,Donnie (NL),The Netherlands,"Hip Hop, Electronic",Magnetron Music,,FALSE,,,,NULL,NULL,NA
56d822dc53a7ddfc01f93df2,Doris Troy,"United States, New York, The Bronx",R&B,"Apple Records, Atlantic Records, People Records",Person,TRUE,1937-01-06,2004-02-16,Female,288,251578,Rhythm and blues
56d822fc53a7ddfc01f93e21,Double,"Japan, Niigata","J-Pop, R&B",For Life Records,Group,FALSE,1998-02-04,,,1126,244461,Contemporary R&B
56d8231d53a7ddfc01f93e68,Down AKA Kilo,"United States, California, Oxnard",Hip Hop,NA,Person,FALSE,1985-01-13,,,2742,570154,Hip hop music
56d8234053a7ddfc01f93e83,Down With Webster,"Canada, Ontario, Toronto","Rap Rock, Hip Hop, Pop Rock",Universal Motown,Group,FALSE,1998,,,20525,2747545,"Pop rock, Rap rock, Hip hop music"
56d8254b53a7ddfc01f941be,Ebony Vox,"Brazil, Rio de Janeiro","Soul, R&B",Columbia,,FALSE,,,,1029,3017168,NA
56d8235a53a7ddfc01f93eae,Dr. Dre,"United States, California, Compton","Hip Hop, R&B","Priority Records, Death Row Records, Aftermath Entertainment, Interscope Records",Person,FALSE,1965-02-18,,Male,3047104,50513,"Hip hop music, G-funk, Gangsta rap"
56d8257a53a7ddfc01f941df,Ed Drewett,"England, Essex, Harlow","R&B, Pop",Virgin,Person,FALSE,1988-04-01,,Male,4325,1806458,Rhythm and blues
56d8239053a7ddfc01f93eef,Drake,"Canada, Ontario, Toronto","Hip Hop, R&B","Cash Money Records, Universal Motown, Young Money Entertainment",Person,FALSE,1986-10-24,,Male,9288697,188668,"Hip hop music, Contemporary R&B"
