deezerFans,id,name,locationInfo,genres,labels,type,lifeSpan.ended,lifeSpan.begin,lifeSpan.end,gender,testDate,testYear
588,56d8051553a7ddfc01f91346,Blazin' Squad,"England, London","Pop, Hip Hop",EastWest,Group,TRUE,2002,2006,unknown,2002,588
587,56d82bea53a7ddfc01f94aa2,Eyedea,"United States, Minnesota, Saint Paul",Hip Hop,Rhymesayers Entertainment,Person,TRUE,1981-11-09,2010-10-17,Male,1981,587
567,56d7f77953a7ddfc01f8ff4b,André 3000,"United States, Georgia, Atlanta","Funk, Hip Hop, Soul","GOOD Music, LaFace",Person,FALSE,1975-05-27,unknown,Male,1975,567
552,56d823ac53a7ddfc01f93f21,Dream Street,"United States, New York","Pop, R&B",Columbia,Group,TRUE,2000,2002,unknown,2000,552
529,56d7fe4353a7ddfc01f9099b,Baby Boy Da Prince,"United States, Louisiana, New Orleans",Hip Hop,Universal Republic,Person,FALSE,1986,unknown,Male,1986,529
528,56d7f61053a7ddfc01f8fd07,AMG,"United States, New York, Brooklyn",Hip Hop,Getti Records,Person,FALSE,1970-09-29,unknown,Male,1970,528
463,56d8177b53a7ddfc01f92d26,Cuban Link,"Cuba, La Habana, Havana","Hip Hop, Latin Hip Hop, Gangsta Rap, Reggaeton","Terror Squad, Atlantic Records",Person,FALSE,1974-12-18,unknown,Male,1974,463
456,56d805a253a7ddfc01f91415,Blowfly,"United States, Georgia, Cochran","Funk, R&B, Soul, Parody, Comedy, Proto Rap, Hip Hop","Pandisc Records, Weird World",Person,TRUE,1939-02-14,2016-01-17,Male,1939,456
430,56d7ff3153a7ddfc01f90b12,Bangs,"Australia, Victoria‎, Melbourne‎",Hip Hop,Independent,Person,FALSE,1990-09-28,unknown,Male,1990,430
409,56d80eaa53a7ddfc01f92178,Chalie Boy,"United States, Texas",Hip Hop,Dirty 3rd Records,Person,FALSE,1979-10-13,unknown,Male,1979,409
304,56d7e9e36b60c09814f93faa,A.L.T.,"United States, California, El Monte",Hip Hop,Atco Records,Person,FALSE,1970-05-17,unknown,Male,1970,304
304,56d8104953a7ddfc01f923b5,China (FR),France,"Jazz, R&B, Soul, Pop",Source,Person,FALSE,1978-01-09,unknown,Female,1978,304
288,56d822dc53a7ddfc01f93df2,Doris Troy,"United States, New York, The Bronx",R&B,"Apple Records, Atlantic Records, People Records",Person,TRUE,1937-01-06,2004-02-16,Female,1937,288
286,56d7f42153a7ddfc01f8f9dc,Algebra,"United States, Georgia, Atlanta","R&B, Neo Soul",BBE,Person,FALSE,1976,unknown,Female,1976,286
