deezerFans,id,name,locationInfo,genres,labels,type,lifeSpan.ended,lifeSpan.begin,lifeSpan.end,gender
12,56d80e2e53a7ddfc01f920c7,Celi Bee,"United States, New York",R&B,Essential Media Group,Person,FALSE,unknown,unknown,Female
10,56d7fa8653a7ddfc01f9040e,Arecee,"United States, Iowa",Underground Hip Hop,NA,unknown,FALSE,unknown,unknown,unknown
10,56d8072b53a7ddfc01f91636,Boo & Gotti,"United States, Illinois, Chicago","Hip Hop, Midwest Rap","Cash Money Records, Universal Records",Group,TRUE,2001,2003,unknown
9,56d7fdf953a7ddfc01f90946,B.A.M.A.,United States,Southern Hip Hop,Hot Tracks,Group,FALSE,2004-07,unknown,unknown
9,56d8205953a7ddfc01f93a0f,Dipset,"United States, New York, Harlem",Hip Hop,Koch Records,Group,FALSE,2002,unknown,unknown
9,56d81e2a53a7ddfc01f93705,Denny Laine,"England, West Midlands, Birmingham","Rock 'N' Roll, Blues Rock, R&B, Jazz Fusion","Arista, Decca Records, EMI, Global Records, Griffin Records, President Records, Reprise Records, Takoma",Person,FALSE,1944-10-29,unknown,Male
9,56d81f7653a7ddfc01f938f4,Die Dumme Dänen,"Denmark, Region Hovedstaden, Copenhagen","Heavy Metal, Hip Hop",Sony BMG,Group,FALSE,2005,unknown,unknown
8,56d7effc56847be81b3e8d5d,Ahmaad Aspen,"The Bahamas, Grand Bahama, Freeport","Pop, R&B, Country, Hip Hop","Ahmaad Records, Music Kickup Records",Person,FALSE,1995-02-14,unknown,Male
6,56d7eafb26a8a3040c686a35,Abdullah (BR),"Brazil, Rio de Janeiro, Niterói","Singer-Songwriter, Pop, R&B, Soul, Brazilian, Funk Melody","Polydor, Continental",unknown,FALSE,unknown,unknown,unknown
6,56d818f353a7ddfc01f92f75,Damir,Canada,Hip Hop,BTS Music,Person,FALSE,unknown,unknown,unknown
6,56d8218753a7ddfc01f93c1c,DJ3,"United States, Indiana","Christian Hip Hop‎, Hip Hop",NA,unknown,FALSE,unknown,unknown,unknown
5,56d7e9446b60c09814f93ebf,A Gun Called Tension,"United States, Washington","Dancehall, Electronic, Hip Hop, Rock",Cold Crush,Group,FALSE,unknown,unknown,unknown
5,56d80b9153a7ddfc01f91cd9,Calvin Mackenzie,South Africa,"Pop, R&B, Dance",NA,Person,FALSE,1989-02-20,unknown,Male
5,56d8188453a7ddfc01f92ed6,Daddy-O,"United States, New York, Brooklyn","Singer-Songwriter, Hip Hop",Island Records,Person,FALSE,unknown,unknown,Male
3,56d80b9153a7ddfc01f91cd8,Calvin Crabtree,"United States, Indiana, Columbus","Pop, Gangsta Rap",NA,Person,FALSE,1983-08-08,unknown,Male
3,56d8187153a7ddfc01f92ea6,Da Monstar Mob,United States,Hip Hop,Wu International,unknown,FALSE,unknown,unknown,unknown
3,56d8195c53a7ddfc01f9302b,Dani Stevenson,"United States, Georgia, Atlanta","R&B, Hip Hop","Elektra, Universal Records",Person,FALSE,1980,unknown,Female
2,56d80ee453a7ddfc01f921f0,Charlene,"United States, California, Hollywood","Country, Pop, R&B","Motown, Prodigal",Group,FALSE,unknown,unknown,unknown
2,56d81cad53a7ddfc01f934ed,Dear Pricey,"Barbados, Saint Michael",Hip Hop,MoneyEntrè Music Group,Person,FALSE,1990-04-25,unknown,Male
1,56d80b8d53a7ddfc01f91cce,Calm,"United States, Colorado, Denver",Hip Hop,Dirty Laboratory,Group,FALSE,unknown,unknown,unknown
1,56d8219653a7ddfc01f93c3e,DM & Jemini,United States,Hip Hop,Lex Records,Person,FALSE,1977-07-29,unknown,Male
1,56d826c253a7ddfc01f94393,El Latino,Japan,Hip Hop,NA,Person,FALSE,unknown,unknown,unknown
0,56d817b153a7ddfc01f92d87,Curtis Dayne,"United States, New York, Manhattan","Techno, Dance, Hip Hop, R&B",Unknown Source Music,Person,FALSE,1978-11-10,unknown,Male
