rank,id,id_album,title,length,publicationDate,language,language_detect,genre,recordLabel,recorded,runtime,award,Album_Name,Artist_name
592822,5714decb25ac0d8aee3e6277,5714debb25ac0d8aee357b96,I'm Your Angel,329,1999-11-15,unknown,english,"list(""Soul music"", ""Christian music"", ""Christmas music"", ""Contemporary R&B"", ""Gospel music"")","list(""Epic Records"", ""Jive Records"")","list(""1997"")","list(""331.0"")","list(""Gold"", ""Silver"", ""Platinum"")",unknown,unknown
595094,5714dece25ac0d8aee40ff7e,5714debb25ac0d8aee35bdfb,Won't Back Down,265,2010-06-21,eng,english,"list(""Hip hop music"", ""Rap rock"")","list(""Shady Records"", ""Interscope Records"", ""Aftermath Entertainment"")","list(""54"")","list(""265.0"")",list(),Recovery,Eminem
595608,5714dec725ac0d8aee3b08ea,5714debb25ac0d8aee352660,Ego,236,2008-11-14,unknown,english,"list(""Contemporary R&B"")","list(""Columbia Records"")","list(""2008"")","list(""235.0"")",list(),I Am...Sasha Fierce,Beyoncé
596837,5714dec425ac0d8aee38e733,5714debb25ac0d8aee34edbe,Doesn't Mean Anything,272,2009-09-18,unknown,english,"list(""Contemporary R&B"", ""Soul music"")","list(""J Records"")","list(""2009"", ""(Conway Studios)"", ""(The Oven Studios)"", ""Long Island, New York"", ""Los Angeles, California"")","list(""276.0"", ""233.0"")",list(),unknown,unknown
599946,5714dec925ac0d8aee3cb9d3,5714debb25ac0d8aee3550c3,Kung Fu Fighting,196,2006-11-10,eng,english,"list(""Disco"", ""Eurodance"", ""Alternative hip hop"")","list(""All Around the World Productions"", ""20th Century Fox Records"", ""Pye Records"")",list(),"list(""225.0"", ""195.0"")","list(""Gold"")",unknown,unknown
600568,5714dec425ac0d8aee38d89f,5714debb25ac0d8aee34ec27,Hallelujah,218,2009-04-06,unknown,english,"list(""Gospel music"", ""Contemporary R&B"", ""Folk music"", ""Alternative rock"", ""Folk rock"")","list(""Syco Music"", ""Universal Records (defunct record label)"", ""Columbia Records"")","list(""2008"", ""Late 1993–94, at Bearsville Studios, Bearsville, New York"", ""June 1984"")","list(""219.0"", ""413.0"", ""276.0"")","list(""Platinum"", ""Gold"")",unknown,unknown
602168,5714dec425ac0d8aee38f81e,5714debb25ac0d8aee34efa9,I Swear,259,2005-04-19,eng,english,"list(""Pop music"", ""Contemporary R&B"", ""Country music"")","list(""Starwatch Music"", ""Warner Music Group"", ""Atlantic Records"")","list(""1993"")","list(""243.0"")","list(""Gold"", ""Platinum"")",All-4-One,unknown
603579,5714decd25ac0d8aee402b88,5714debb25ac0d8aee35a9a0,Up All Night,234,2010-06-11,unknown,english,"list(""Hip hop music"", ""Contemporary R&B"")","list(""Universal Motown Records"", ""Aspire Music Group"", ""Cash Money Records"", ""Young Money Entertainment"")","list(""2010"")","list(""235.0"")",list(),Thank Me Later,Drake
605995,5714dec825ac0d8aee3bf083,5714debb25ac0d8aee353d00,I'll Make Love To You,236,2007-09-10,eng,english,"list(""Contemporary R&B"")","list(""Motown"")","list(""Early 1994"")","list(""244.0"")",list(),II,Boyz II Men
606730,5714dec625ac0d8aee3aa331,5714debb25ac0d8aee351c09,Hopeful,169,2014-07-25,unknown,english,"list(""Hip hop music"", ""Contemporary R&B"")","list(""Syco Music"")","list(""2014"")","list(""169.0"")",list(),unknown,unknown
607531,5714deca25ac0d8aee3d56f3,5714debb25ac0d8aee3560a3,Say Goodbye,290,2005-12-05,unknown,english,"list(""Contemporary R&B"", ""Pop music"")","list(""Jive Records"")","list(""2005"")","list(""289.0"")",list(),Chris Brown,unknown
609025,5714decd25ac0d8aee3fdaba,5714debb25ac0d8aee35a1b6,Get It On The Floor,262,2003-09-09,unknown,english,"list(""East Coast hip hop"", ""Hardcore hip hop"")","list(""Ruff Ryders Entertainment"", ""Def Jam Recordings"")","list(""2003"")","list(""268.0"")",list(),Grand Champ,DMX
610535,5714dec625ac0d8aee3a5c88,5714debb25ac0d8aee351545,Harlem Shake,196,2012-08-17,eng,spanish,"list(""Bass music"", ""Hip hop music"", ""Trap music"")","list(""Mad Decent"")","list(""2012"")","list(""196.0"")","list(""Platinum"", ""Gold"", ""Silver"")",unknown,unknown
612674,5714decb25ac0d8aee3e33f7,5714debb25ac0d8aee3576d2,Einmal Um Die Welt,142,2015-02-18,unknown,german,"list(""Rapping"", ""Pop music"")",list(),list(),"list(""141.0"")","list(""Gold"", ""Platinum"")",Meine Musik,Cro
615954,5714deca25ac0d8aee3d56e8,5714debb25ac0d8aee3560a3,Run It!,229,2006-05-08,unknown,english,"list(""Contemporary R&B"", ""Hip hop music"", ""Crunk"")","list(""Jive Records"")","list(""2005"")","list(""244.0"", ""229.0"", ""192.0"")",list(),Chris Brown,unknown
617574,5714deca25ac0d8aee3d57ce,5714debb25ac0d8aee3560ad,Fine China,213,2013-04-01,unknown,english,"list(""Contemporary R&B"")","list(""RCA Records"")","list(""2013"")","list(""213.0"")","list(""Gold"")",X,unknown
621665,5714decd25ac0d8aee4021cf,5714debb25ac0d8aee35a8bc,Still D.R.E.,267,2008-05-12,unknown,english,"list(""Gangsta rap"", ""G-funk"", ""West Coast hip hop"")","list(""Aftermath Entertainment"", ""Interscope Records"")","list(""1999"")","list(""274.0"")","list(""Platinum"", ""Gold"")",2001,Dr. Dre
623297,5714decc25ac0d8aee3f6d22,5714debb25ac0d8aee3596bf,Watchtower,272,2013-06-30,unknown,english,"list(""Hip hop music"", ""Rap rock"")","list(""Universal Music Group"", ""Island Records"")",list(),"list(""219.0"")",list(),A Moving Picture,unknown
623707,5714decb25ac0d8aee3e6c0b,5714debb25ac0d8aee357c7e,My Band,298,2004-04-26,unknown,english,"list(""Comedy hip hop"")","list(""Interscope Records"", ""Shady Records"")","list(""2003"")","list(""284.0"", ""298.0"")",list(),D12 World,D12
626169,5714dec725ac0d8aee3b10e5,5714debb25ac0d8aee35274a,Bang Bang Bang,220,2015-06-01,unknown,english,"list(""Trap music"", ""Dance-pop"")","list(""YG Entertainment"")",list(),"list(""220.0"")",list(),unknown,unknown
630657,5714dec725ac0d8aee3b918f,5714debb25ac0d8aee353394,The Bad Touch,259,2007-09-17,eng,english,"list(""Rap rock"", ""Euro disco"", ""Dance-pop"")","list(""Jimmy Franks Recording Company"", ""Geffen Records"")","list(""1999"")","list(""260.0"")",list(),unknown,unknown
630967,5714deca25ac0d8aee3df805,5714debb25ac0d8aee3570da,Gangsta's Paradise,241,2006-08-22,eng,english,"list(""Gangsta rap"", ""G-funk"", ""West Coast hip hop"", ""Horrorcore"")","list(""Tommy Boy Records"")","list(""1994"")","list(""240.0"")","list(""Platinum"", ""Gold"")",Gangsta's Paradise,Coolio
634603,5714decd25ac0d8aee402b8f,5714debb25ac0d8aee35a9a0,Find Your Love,208,2010-05-05,unknown,english,"list(""Synthpop"", ""Contemporary R&B"", ""Pop music"")","list(""Young Money Entertainment"", ""Cash Money Records"", ""Aspire Music Group"", ""Universal Motown Records"")","list(""2009"")","list(""209.0"")",list(),Thank Me Later,Drake
645934,5714dec625ac0d8aee3a7215,5714debb25ac0d8aee351738,Lighters,303,2011-06-14,unknown,english,"list(""Alternative hip hop"", ""Synthpop"", ""Soul music"")","list(""Interscope Records"", ""Shady Records"")","list(""Effigy Studios , Isolation Studios, Levcon Studios"")","list(""263.0"", ""303.0"")","list(""Platinum"", ""Gold"", ""Silver"")",Hell: The Sequel,unknown
647519,5714decf25ac0d8aee416250,5714debb25ac0d8aee35c7de,Let Me Blow Ya Mind,230,2008-05-12,unknown,english,"list(""Pop music"", ""Hip hop music"", ""Contemporary R&B"")","list(""Interscope Records"", ""Ruff Ryders Entertainment"")","list(""2000"")","list(""231.0"")",list(),Scorpion,unknown
650765,5714dece25ac0d8aee40ffd4,5714debb25ac0d8aee35be01,Kings Never Die,296,2015-07-10,unknown,english,"list(""Rap rock"")","list(""Shady Records"", ""Interscope Records"", ""Aftermath Entertainment"")",list(),"list(""296.0"")",list(),unknown,unknown
654573,5714deca25ac0d8aee3d56f7,5714debb25ac0d8aee3560a4,Kiss Kiss,251,2007-09-10,unknown,english,"list(""Contemporary R&B"", ""Dance music"", ""Hip hop music"")","list(""Jive Records"", ""Zomba Group of Companies"")","list(""Los Angeles"", ""California"")","list(""250.0"")",list(),Exclusive,unknown
654881,5714dece25ac0d8aee40ff64,5714debb25ac0d8aee35bdf9,We Made You,269,2009-05-19,unknown,english,"list(""Comedy hip hop"", ""Hip hop music"")","list(""Interscope Records"", ""Shady Records"", ""Aftermath Entertainment"")","list(""October 2008"")","list(""287.0"", ""269.0"")","list(""Platinum"")",unknown,unknown
658054,5714dec825ac0d8aee3c668f,5714debb25ac0d8aee3548a5,The Pussycat Dolls:Don't Cha,273,2006-01-01,eng,english,"list(""Pop music"", ""Contemporary R&B"")","list(""Interscope Records"", ""A&M Records"")","list(""2005"")","list(""272.0"")","list(""Gold"", ""Platinum"")",unknown,unknown
659957,5714dec725ac0d8aee3b08f7,5714debb25ac0d8aee352661,Start Over,199,2011-06-27,unknown,english,"list(""Contemporary R&B"")","list(""Columbia Records"")","list(""2011"")","list(""199.0"")",list(),4,Beyoncé
665014,5714dec825ac0d8aee3c13e9,5714debb25ac0d8aee3540a3,Back At One,263,2007-09-26,unknown,english,"list(""Contemporary R&B"", ""Country music"", ""Soul music"")","list(""Universal Music Group Nashville"", ""Motown"")",list(),"list(""222.0"", ""263.0"", ""246.0"")",list(),Back At One,unknown
668549,5714dec625ac0d8aee3a5a7c,5714debb25ac0d8aee351514,Nothin' On You,268,2010-03-22,unknown,english,"list(""Pop-rap"", ""Contemporary R&B"")","list(""Grand Hustle Records"", ""Atlantic Records"")","list(""2009"")","list(""269.0"", ""217.0"")","list(""Gold"", ""N/A"", ""Platinum"")",The Adventures Of Bobby Ray,unknown
674637,5714deca25ac0d8aee3d56f9,5714debb25ac0d8aee3560a4,With You,252,2007-11-01,eng,english,"list(""Contemporary R&B"", ""Pop music"")","list(""Jive Records"", ""RCA/Jive Label Group"")","list(""Battery Studios"", ""2007"")","list(""252.0"")",list(),Exclusive,unknown
676312,5714deca25ac0d8aee3d57cc,5714debb25ac0d8aee3560ad,Love More,189,2013-07-22,unknown,english,"list(""Hip hop music"", ""Contemporary R&B"")","list(""RCA Records"")","list(""2013"")","list(""189.0"")","list(""Gold"")",X,unknown
681997,5714dec625ac0d8aee3abd96,5714debb25ac0d8aee351eb8,Sabotage,179,1999-11-23,eng,english,"list(""Rap rock"")","list(""Grand Royal"")","list(""1993"")","list(""178.0"")",list(),Ill Communication,Beastie Boys
683653,5714decf25ac0d8aee4194c2,5714debb25ac0d8aee35cd1f,Epic,293,2007-10-01,eng,english,"list(""Funk metal"", ""Hard rock"", ""Rap metal"", ""Alternative metal"")","list(""Slash Records"", ""PolyGram"", ""Liberation Records"", ""Reprise Records"", ""London Records"")","list(""December 1988 – January 1989, Studio D, Sausalito, California"")","list(""225.0"", ""239.0"", ""294.0"", ""258.0"")",list(),unknown,unknown
691030,5714dece25ac0d8aee40fedf,5714debb25ac0d8aee35bdf3,White America,324,2007-09-13,unknown,english,"list(""Political hip hop"")","list(""Shady Records"", ""Interscope Records"", ""Aftermath Entertainment"")",list(),"list(""324.0"")",list(),The Eminem Show,Eminem
691160,5714dec325ac0d8aee387506,5714debb25ac0d8aee34e21c,Because I Got High,197,2001-08-28,eng,english,"list(""Comedy hip hop"")","list(""T-Bones Records"", ""Columbia Records"")","list(""2000"")","list(""199.0"", ""310.0"")","list(""Platinum"", ""Gold"")",The Good Times,Afroman
691731,5714deca25ac0d8aee3d4629,5714debb25ac0d8aee355ec3,Opposite Of Adults,195,2010-02-19,eng,english,"list(""Pop-rap"", ""Synthpop"", ""Alternative hip hop"")","list(""Regal Recordings"")",list(),"list(""191.0"")",list(),The Swelly Express,unknown
694121,5714decd25ac0d8aee3fd0aa,5714debb25ac0d8aee35a06d,Will Smith:Men In Black,227,2002-11-25,eng,english,"list(""Contemporary R&B"", ""Hip hop music"")","list(""Columbia Records"", ""Sony Music Entertainment"")","list(""1997"")","list(""228.0"")",list(),Greatest Hits,unknown
695419,5714dec425ac0d8aee3926e3,5714debb25ac0d8aee34f4b4,1 Thing,238,2005-07-04,eng,english,"list(""Go-go"", ""Hip hop soul"", ""Contemporary R&B"")","list(""Columbia Records"")","list(""June 2004; Night Flight Recording Studios"", ""Sony Music Studios"")","list(""239.0"")","list(""Gold"", ""Silver"")",Because I Love It,unknown
698908,5714dece25ac0d8aee40ff31,5714debb25ac0d8aee35bdf7,Just Lose It,248,2005-11-21,eng,english,"list(""Comedy hip hop"")","list(""Aftermath Entertainment"", ""Shady Records"", ""Interscope Records"")","list(""Los Angeles"", ""2004"", ""California"")","list(""222.0"", ""249.0"")",list(),Encore,Eminem
699555,5714decf25ac0d8aee419614,5714debb25ac0d8aee35cd3f,Love Like This,275,2005-04-20,unknown,english,"list(""Contemporary R&B"")","list(""Bad Boy Records"")","list(""1997"")","list(""241.0"")",list(),Keep The Faith,unknown
699687,5714dec425ac0d8aee390340,5714debb25ac0d8aee34f0d3,The Man,255,0000-00-00,eng,english,"list(""Soul music"", ""Contemporary R&B"")","list(""Interscope Records"")","list(""2013"")","list(""256.0"", ""209.0"")","list(""Gold"", ""Platinum"")",unknown,unknown
