X_id,name,genre,id_artist,title,publicationDate,deezerFans,country,dateRelease,language,Artist_name
5714debb25ac0d8aee3598e4,Dick Annegarn,French Pop,56d81f5653a7ddfc01f938b9,Frères ?,1986,354,FR,1985,fra,Dick Annegarn
5714debb25ac0d8aee3598e5,Dick Annegarn,French Pop,56d81f5653a7ddfc01f938b9,Ullegarra,1990,354,unknown,1990,unknown,Dick Annegarn
5714debb25ac0d8aee3598e6,Dick Annegarn,French Pop,56d81f5653a7ddfc01f938b9,Chansons Fleuves,1990,354,unknown,unknown,unknown,Dick Annegarn
5714debb25ac0d8aee3598e7,Dick Annegarn,French Pop,56d81f5653a7ddfc01f938b9,Approche-Toi,1997,1067,unknown,1997,unknown,Dick Annegarn
5714debb25ac0d8aee3598e8,Dick Annegarn,French Pop,56d81f5653a7ddfc01f938b9,Adieu Verdure,1999,775,unknown,1999,unknown,Dick Annegarn
5714debb25ac0d8aee3598e9,Dick Annegarn,French Pop,56d81f5653a7ddfc01f938b9,Au Cirque D'Hiver,2000,1067,unknown,1999,unknown,Dick Annegarn
5714debb25ac0d8aee3598ea,Dick Annegarn,French Pop,56d81f5653a7ddfc01f938b9,Soleil Du Soir,2008,656,unknown,unknown,unknown,Dick Annegarn
5714debb25ac0d8aee35a1e3,Do Or Die,Hip Hop,56d821a953a7ddfc01f93c59,Victory,2000,45,US,2000-08-29,eng,Do Or Die
5714debb25ac0d8aee35a1e4,Do Or Die,Hip Hop,56d821a953a7ddfc01f93c59,Back 2 The Game,2002,40,US,2002-08-13,unknown,Do Or Die
5714debb25ac0d8aee35a1e5,Do Or Die,Hip Hop,56d821a953a7ddfc01f93c59,Pimpin' Ain't Dead,2003,757,US,2003-08-19,unknown,Do Or Die
5714debb25ac0d8aee35a1e6,Do Or Die,Hip Hop,56d821a953a7ddfc01f93c59,D.O.D.,2005,unknown,US,2005-02-01,eng,Do Or Die
5714debb25ac0d8aee35a1e7,Do Or Die,Hip Hop,56d821a953a7ddfc01f93c59,Get That Paper,2006,unknown,unknown,2006-03-28,unknown,Do Or Die
5714debb25ac0d8aee359919,Diddy-Dirty Money,Hip Hop,56d81f6253a7ddfc01f938d3,Last Train To Paris,2010,659,unknown,unknown,unknown,Diddy-Dirty Money
5714debb25ac0d8aee359920,Diddy,Hip Hop,56d81f6353a7ddfc01f938d5,Press Play,2006,6001,unknown,unknown,unknown,Diddy
5714debb25ac0d8aee358f4a,Deborah Cox,R&amp;B,56d81d1953a7ddfc01f93566,Deborah Cox,1995,865,XE,1995-09-12,eng,Deborah Cox
5714debb25ac0d8aee358f4b,Deborah Cox,R&amp;B,56d81d1953a7ddfc01f93566,One Wish,1998,1533,unknown,1998-09-15,unknown,Deborah Cox
5714debb25ac0d8aee358f4c,Deborah Cox,R&amp;B,56d81d1953a7ddfc01f93566,The Morning After,2002,139,unknown,2002,unknown,Deborah Cox
5714debb25ac0d8aee358f4d,Deborah Cox,R&amp;B,56d81d1953a7ddfc01f93566,Destination Moon,2007,361,unknown,2007-06-19,unknown,Deborah Cox
5714debb25ac0d8aee358f4e,Deborah Cox,R&amp;B,56d81d1953a7ddfc01f93566,The Promise,2008,288,CA,2008-11-11,eng,Deborah Cox
5714debb25ac0d8aee35a218,Doc Gynéco,Hip Hop,56d821b653a7ddfc01f93c71,Première Consultation,1997,59648,FR,1997-11-17,fra,Doc Gynéco
5714debb25ac0d8aee35996b,Die Atzen,Hip Hop,56d81f6f53a7ddfc01f938e7,Disco Pogo,2010,unknown,DE,2010,eng,Die Atzen
5714debb25ac0d8aee359988,Die Fantastischen Vier,Hip Hop,56d81f7853a7ddfc01f938f7,Frohes Fest,1991,unknown,unknown,1991,unknown,Die Fantastischen Vier
